WellName,CorpID,ForecastName,GFOz,GFOzYear,Aries_ScenarioID,DCA_b,DCA_Di,DCA_qi,Update_Date,Update_User
Taz 1 H,14316545-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:12:23.000,Travis Comer
Taz 3 H,14319343-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:12:39.000,Travis Comer
Saber 1 H,14319899-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:12:07.000,Travis Comer
Saber 1 H B,14319900-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:12:15.000,Travis Comer
Utahraptor 1 H,14322612-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:12:55.000,Travis Comer
Utahraptor 1 H B,14322613-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:13:03.000,Travis Comer
Koala 5 H,14322672-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:11:44.000,Travis Comer
Callisto 1 H,14325314-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:13:35.000,Travis Comer
Pluto 1 H,14326646-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:11:52.000,Travis Comer
Pluto 1 H B,14326647-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:12:00.000,Travis Comer
Gasosaurus 1 H,14340136-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:13:51.000,Travis Comer
Sugar Glider 1 H B,14340216-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:14:54.000,Travis Comer
Sugar Glider 1 H,14340217-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:14:47.000,Travis Comer
Rockies 1 H,14354532-002,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:14:31.000,Travis Comer
Wallaby 4 H B,14364160-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:16:40.000,Travis Comer
Koala 3 H B,14365559-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:14:07.000,Travis Comer
